activiteitnaam,bewindspersoon,datum,locatie,subtitel,type,url
Opening testlab Elaad,Vivianne Heijnen,2022-06-08,Arnhem,,Werkbezoek,/actueel/agenda/2022/06/08/opening-testlab-elaad
Gesprek met Philips over apneu apparatuur,Ernst Kuipers,2022-06-08,Via communicatietechnologie,Minister Kuipers spreekt de President Philips Nederland over de uitdagingen rondom apneu apparatuur. ,Gesprek,/actueel/agenda/2022/06/08/gesprek-met-philips-over-apneu-apparatuur
Kennismaking met Gouverneur Aruba,Rob Jetten,2022-06-08,Den Haag,,Gesprek,/actueel/agenda/2022/06/08/kennismaking-met-gouverneur-aruba
Bijeenkomst met brede groep stakeholders over Klimaatprogramma,"Micky Adriaansens, Rob Jetten",2022-06-08,Den Haag,Met de minister voor Volkshuisvesting en Ruimtelijke Ordening.,Gesprek,/actueel/agenda/2022/06/08/bijeenkomst-met-brede-groep-stakeholders-over-klimaatprogramma
Kennismaking voorzitter van de Eerste Kamer,Eric van der Burg,2022-06-08,Den Haag,"Staatssecretaris Van der Burg gaat in gesprek met  Jan Anthonie Bruijn,  voorzitter van de Eerste Kamer.",Gesprek,/actueel/agenda/2022/06/08/kennismaking-voorzitter-van-de-eerste-kamer
Overleg bestuurlijk financiële verhoudingen,"Hanke Bruins Slot, Marnix van Rij",2022-06-08,Via communicatietechnologie,Staatssecretaris Van Rij heeft een gesprek met minister Bruins Slot over bestuurlijk financiële verhoudingen.,Bestuurlijk overleg,/actueel/agenda/2022/06/08/bestuurlijk-overleg-financiele-verhoudingen
CCUS Conferentie,Hans Vijlbrief,2022-06-08,Rotterdam,Staatssecretaris Vijlbrief houdt een toespraak op de CCUS Conferentie.,Evenement,/actueel/agenda/2022/06/08/ccus-conferentie
Tweeminutendebat,Ernst Kuipers,2022-06-08,Tweede Kamer,Minister Kuipers gaat naar de Tweede Kamer voor een Tweeminutendebat Acute zorg / Eerstelijnszorg / Bloedvoorziening / Medisch ...,Kamervergadering,/actueel/agenda/2022/06/08/tweeminutendebat
Ronde tafel met stakeholders digitale economie,Micky Adriaansens,2022-06-08,Den Haag,,Gesprek,/actueel/agenda/2022/06/08/ronde-tafel-met-stakeholders-digitale-economie
"Gesprek met Arjan Vliegenthart, directeur-bestuurder Nibud",Carola Schouten,2022-06-08,Den Haag,Minister Schouten spreekt met Arjan Vliegenthart over P-wet.,Gesprek,/actueel/agenda/2022/06/08/gesprek-directeur-bestuurder-nibud
Commissiedebat Gewasbeschermingsmiddelen,Vivianne Heijnen,2022-06-08,Den Haag,,Kamervergadering,/actueel/agenda/2022/06/08/commissiedebat-gewasbeschermingsmiddelen
"Bewindspersonenoverleg Actieprogramma Preventie Geldzorgen, Armoede en Schulden","Carola Schouten, Maarten van Ooijen",2022-06-08,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/06/08/bewindspersonenoverleg-actieprogramma-preventie-geldzorgen
Kennismaking met voorzitter Nederlandse Vereniging van Banken,Micky Adriaansens,2022-06-08,Via communicatietechnologie,,Gesprek,/actueel/agenda/2022/06/08/kennismaking-met-voorzitter-nederlandse-vereniging-van-banken
Commissiedebat Gewasbescherming,,2022-06-08,Den Haag,,NA,/actueel/agenda/2022/06/08/commissiedebat-gewasbescherming
Oudergesprekken,Aukje de Vries,2022-06-08,Rotterdam,,Gesprek,/actueel/agenda/2022/06/08/oudergesprekken
Commissiedebat JBZ-raad,Eric van der Burg,2022-06-08,Den Haag,Staatssecretaris Van der Burg gaat in debat met de Tweede Kamer over de JBZ-Raad in Luxemburg van 9 en 10 juni.,Kamervergadering,/actueel/agenda/2022/06/08/commissiedebat-jbz-raad
Gesprek over visitatiecommissie PBL,Vivianne Heijnen,2022-06-08,Via communicatietechnologie,Staatssecretaris Heijnen spreekt met de heer Meijdam over de visitatiecommissie PBL.,Gesprek,/actueel/agenda/2022/06/08/gesprek-over-visitatiecommissie-pbl
Bestuurlijk Overleg Mobiliteit,Mark Harbers,2022-06-08,Den Haag,"Minister Harbers voert een bestuurlijk overleg over mobiliteit, met IPO, VNG, MRDH en VRA.",Bestuurlijk overleg,/actueel/agenda/2022/06/08/bestuurlijk-overleg-mobiliteit
"Gesprek met de CdK van Limburg, de heer Roemer",Mark Rutte,2022-06-08,Den Haag,,Gesprek,/actueel/agenda/2022/06/08/gesprek-met-de-cdk-van-limburg
Gesprek met Aedes en Zeno Winkels,Hugo de Jonge,2022-06-08,Den Haag,Minister De Jonge heeft een gesprek met Martijn van Rijn (Aedes) en Zeno Winkels (Woonbond) over de prestatieafspraken.,Handelsmissie,/actueel/agenda/2022/06/08/gesprek-met-aedes-en-zeno-winkels
Gesprek met de secretaris generaal van de Verenigde Naties Guterres,Mark Rutte,2022-06-08,Via communicatietechnologie,,Gesprek,/actueel/agenda/2022/06/08/gesprek-met-secretaris-generaal-vn
Commissiedebat over Landbouw- en Visserijraad 13 juni,,2022-06-08,Den Haag,,NA,/actueel/agenda/2022/06/08/commissiedebat-landbouw--en-visserijraad-13-juni
Gesprek met woordvoerders arbeidsmarkt TK-fracties,Karien van Gennip,2022-06-08,Den Haag,Minister Van Gennip spreekt met woordvoerders arbeidsmarkt van TK-fracties:,Gesprek,/actueel/agenda/2022/06/08/gesprek-woordvoerders-arbeidsmarkt-tk-fracties
Kennismaking met Raad voor de leefomgeving en infrastructuur (Rli),Mark Harbers,2022-06-08,Den Haag,,Gesprek,/actueel/agenda/2022/06/08/kennismaking-met-raad-voor-de-leefomgeving-en-infrastructuur-rli
Raad voor Concurrentievermogen,Robbert Dijkgraaf,2022-06-08,Luxemburg,Minister Dijkgraaf neemt deel aan de Raad voor Concurrentievermogen.,Internationale bijeenkomst,/actueel/agenda/2022/06/08/raad-voor-concurrentievermogen
Bestuurlijk Overleg  Zuidasdok,Mark Harbers,2022-06-08,Via communicatietechnologie,Minister Harbers en staatssecretaris Heijnen voeren een bestuurlijk overleg over het project Zuidasdok.,Bestuurlijk overleg,/actueel/agenda/2022/06/08/bestuurlijk-overleg-zuidasdok
Regulier gesprek minister Kaag en minister-president Rutte,Sigrid Kaag,2022-06-08,Den Haag,,Gesprek,/actueel/agenda/2022/06/08/regulier-gesprek-minister-kaag-en-minister-president-rutte
Gesprek met wethouder van Den Haag,Hugo de Jonge,2022-06-08,Den Haag,Minister De Jonge heeft een gesprek met wethouder Saskia Bruines van Den Haag over het project Binnenhof.,Gesprek,/actueel/agenda/2022/06/08/gesprek-met-wethouder-van-den-haag
Friends of Excellence,Robbert Dijkgraaf,2022-06-08,Luxemburg,Minister Dijkgraaf spreekt met ministers van een aantal EU-lidstaten over excellentie in de wetenschap.,Internationale bijeenkomst,/actueel/agenda/2022/06/08/friends-of-excellence
Gesprek met Meta/Facebook,Alexandra van Huffelen,2022-06-08,Den Haag,Staatssecretaris Van Huffelen heeft een gesprek met Markus Reinisch en Edo Haverman van Meta/Facebook.,Gesprek,/actueel/agenda/2022/06/08/gesprek-met-meta-facebook
Gesprek met verenigingsbestuur Dutchbat III,Kajsa Ollongren,2022-06-08,Den Haag,Minister voerde een kennismakingsgesprek met het verenigingsbestuur.,Gesprek,/actueel/agenda/2022/06/08/gesprek-met-verenigingsbestuur-dutchbat-iii
Gesprek over vastgoed,Hugo de Jonge,2022-06-08,Den Haag,Minister De Jonge heeft een gesprek met Maarten de Gruyter over vastgoed.,Gesprek,/actueel/agenda/2022/06/08/gesprek-over-vastgoed
Kennismaking Nederlandse Vereniging voor Journalisten,Gunay Uslu,2022-06-08,Amsterdam,Staatssecretaris Uslu spreekt de algemeen secretaris en de voorzitter van de Nederlandse Vereniging voor Journalisten (NJV) over ...,Gesprek,/actueel/agenda/2022/06/08/kennismaking-nederlandse-vereniging-voor-journalisten
Werkbezoek aan GGZ-instelling Altrecht Psychosomatiek Eikenboom,Conny Helder,2022-06-08,Zeist,,Werkbezoek,/actueel/agenda/2022/06/08/werkbezoek-aan-ggz-instelling
Ministerieel-overleg MP Jacobs,Alexandra van Huffelen,2022-06-08,Via communicatietechnologie,,Gesprek,/actueel/agenda/2022/06/08/ministerieel-overleg-mp-jacobs
Debat Vuurwerkverbod,Dilan Yeşilgöz-Zegerius,2022-06-08,Den Haag,,Kamervergadering,/actueel/agenda/2022/06/08/debat-vuurwerkverbod
Ministerieel-overleg MP Pisas,Alexandra van Huffelen,2022-06-08,Via communicatietechnologie,,Gesprek,/actueel/agenda/2022/06/08/ministerieel-overleg-mp-pisas
Gesprek met voorzitter en directeur MKB-Nederland over beleidsprogramma Klimaat en Energie,"Micky Adriaansens, Rob Jetten",2022-06-08,Den Haag,,Gesprek,/actueel/agenda/2022/06/08/gesprek-met-voorzitter-en-directeur-mkb-nederland-over-beleidsprogramma-klimaat-en-energie
Werkbezoek vliegbasis Volkel,Christophe van der Maat,2022-06-08,Volkel,Staatssecretaris v.d. Maat brengt een werkbezoek aan de vliegbasis Volkel. Hij maakt kennis met het personeel en krijgt een ...,Werkbezoek,/actueel/agenda/2022/06/08/werkbezoek-vliegbasis-volkel
Kennismaking met Noord-Hollandse gedeputeerden,Mark Harbers,2022-06-08,Den Haag,Minister Harbers maakt kennis met Noord-Hollandse gedeputeerden Rommel (stikstof) en Loggen (ruimtelijke ordening).,Gesprek,/actueel/agenda/2022/06/08/kennismaking-met-noord-hollandse-gedeputeerden
Wittenburg conferentie,Wopke Hoekstra,2022-06-08,Ankara (Turkije),Minister Hoekstra neemt deel aan de Wittenburg conferentie in Ankara over de bilaterale relatie tussen Turkije en Nederland.,Internationale bijeenkomst,/actueel/agenda/2022/06/08/wittenburg-conferentie
